annotator_id,article_id,political_typology,effect,explanation,article_index,change,reinforce,date_created
L07,1663703.txt,Disaffected Democrats,3,"When it comes to environmental issues it is so damaging for the beaurcpatic wheels to barely turn as our heath, earth, and people suffer. ",28,,,2018-05-05 04:44:46.374196+02
L03,1638699.txt,Disaffected Democrats,4,"It reinforced my belief that hope is very important, especially in its assertion that a human being can’t be a full human without hope. ",0,,,2018-05-05 06:52:54.526427+02
L03,1640113.txt,Disaffected Democrats,5,This article provided me with evidence to argue against the bush administration’s defense of their inhumane torture practices. ,1,,YES,2018-05-05 06:56:18.059374+02
L03,1640630.txt,Disaffected Democrats,3,I had no opinion on this subject prior so it didn’t affect me either way. ,2,,,2018-05-05 06:58:00.337992+02
L03,1640915.txt,Disaffected Democrats,2,"I was not previously aware of the levels of mismanagement in the U.N., I’ve always supported the US involvement with the U.N. but this brings up interesting points about its internal issues. ",3,,,2018-05-05 07:00:04.466557+02
L03,1641561.txt,Disaffected Democrats,5,Just reading this article made me so angry. I was furious over the entire Iraq war because it was all built on a complete lie about the WMDs that the Bush administration then just stopped talking about and the public appeared to completely forget were even (...),4,,YES,2018-05-05 07:02:01.210879+02
L03,1642371.txt,Disaffected Democrats,3,I had no stance on this issue before reading the article but I am sad to learn about the books and fiscal mismanagement. ,5,,,2018-05-05 07:03:44.498077+02
L03,1642463.txt,Disaffected Democrats,2,I wasn’t aware that there was any form of affordable housing action going on in that area of NYC so this challenged my belief that they weren’t making any efforts.  ,6,,,2018-05-05 07:05:39.507174+02
L03,1643180.txt,Disaffected Democrats,5,This article provided evidence to back my already existent view that Condoleezza Rice is corrupt and created an illegal and unethical war based on lies,7,,YES,2018-05-05 07:08:04.389772+02
L03,1644750.txt,Disaffected Democrats,4,This article provided me with additional information on how many New York buildings still need  fire safety improvements even though things are getting better. ,8,,,2018-05-05 07:10:37.926944+02
L03,1645252.txt,Disaffected Democrats,4,It provided statistics to back up information I was already aware of in NYC ,9,,,2018-05-05 07:17:01.808724+02
L03,1645497.txt,Disaffected Democrats,5,This provided evidence of the Bush administrations utter lack of care for anyone who needed help either domestically or abroad. This mismanaged small amount of money that was virtually useless can be seen here as simply a show to appear as if the administr (...),10,,YES,2018-05-05 07:20:05.300029+02
L03,1647884.txt,Disaffected Democrats,5,Most factory and production workers in America are treated very poorly and this article provided examples of these subpar conditions. ,11,,YES,2018-05-05 07:21:54.079537+02
C06,1638700.txt,New Era Enterprisers,3,A mostly conclusory editorial with some inflammatory remarks. It was preaching to the choir. ,0,,,2018-05-05 13:45:54.936829+02
C06,1639855.txt,New Era Enterprisers,4,"How can you possibly be a ""reformer"" if you've been in office ten years?",1,,,2018-05-05 13:48:30.869332+02
C06,1641834.txt,New Era Enterprisers,5,Including Justice Kennedy's comment really bolsters my anti-FSA position.,2,,YES,2018-05-05 13:51:17.150758+02
L07,1664115.txt,Disaffected Democrats,4,America was founded by immigrants and now has the audacity to try to keep people out. People should be fairly admitted in and we need to develop a better way at doing that. ,29,,,2018-05-05 14:51:24.753628+02
L07,1665034.txt,Disaffected Democrats,2,"Private support can be a good thing, as mentioned in the library editorial, but I still don't believe private funding is the answer to many issues. ",30,,,2018-05-05 15:25:33.529135+02
L07,1665257.txt,Disaffected Democrats,4,"The editorial talks about the protection that videos can provide for both police and those arrested, but also sites the editing of police tapes. It's note worthy that the police would use the tapes to protect themselves rather than the people. ",31,,,2018-05-05 15:27:45.059514+02
L07,1665462.txt,Disaffected Democrats,3,Hospitals need some form of accountability to show that they are effectively taking care of their patients and providing them with the best and most quality care.  ,32,,,2018-05-05 15:32:30.084663+02
C07,1638697.txt,Market Skeptic Republicans,2,"I drive a pickup, which doesn't get the best MPG. But, I need it for work. So I have little to no choice in the matter.",0,,,2018-05-05 15:43:27.485087+02
C07,1638901.txt,Market Skeptic Republicans,5,"It strongly reinforced my stance that the government, and the way it works, needs a fresh start. I agree with all the rule changes proposed here.",1,,YES,2018-05-05 15:45:19.328412+02
C07,1638989.txt,Market Skeptic Republicans,5,"It strongly reinforced my stance that the government, and the way it works, needs a fresh start. I agree with all the rule changes proposed here.",2,,YES,2018-05-05 15:46:30.259157+02
C07,1639627.txt,Market Skeptic Republicans,4,"I agree with the fact that the Sunni population needs to stand up and cooperate with the majority, or else it may lead to another war for Iraq.",3,,,2018-05-05 15:48:37.606972+02
C07,1641562.txt,Market Skeptic Republicans,4,"I had no idea regarding this topic. I am very pleased to see that these countries are doing their best to protect the children, and hope that regions nearest do the same in the future.",4,,,2018-05-05 15:51:21.777852+02
C07,1642336.txt,Market Skeptic Republicans,5,"Action needs to be taken now, so future generations are not affected by our decisions to save money by taking our sweet time.",5,,YES,2018-05-05 15:53:33.810453+02
C07,1643013.txt,Market Skeptic Republicans,5,"A program in place to offer the illegal immigrants already working in the states would be a great start. However, a hard hand needs to be brought down on any illegal living fro free off the system or engaging in criminal activities.",6,,YES,2018-05-05 15:55:42.102959+02
C07,1644157.txt,Market Skeptic Republicans,4,"It is less about the color, and more about the statistics. If one color has a lower crime rate than another, why risk the whole community? I am not opposed to this system that has been working well for years.",7,,,2018-05-05 15:58:05.342877+02
C07,1644158.txt,Market Skeptic Republicans,5,"Why bring in the crime that comes with affordable housing, and put everyone at risk, just to 'upset the status quo'? I stand with his decision.",8,,YES,2018-05-05 15:59:16.893276+02
C07,1644957.txt,Market Skeptic Republicans,5,"If this is how we can keep America secure, then so be it. If the prisoners are on death row for some heinous crime, they do not deserve a second chance to hurt another family. In my opinion, he is qualified enough.",9,,YES,2018-05-05 16:02:16.186546+02
C07,1645961.txt,Market Skeptic Republicans,5,I love and agree with all of these actions. Restore the river to the day again! Make it a place to enjoy and to be proud of!,10,,YES,2018-05-05 16:04:19.978196+02
C07,1646349.txt,Market Skeptic Republicans,4,I agree with this in that the election is the deciding factor regarding whether or not giving the country a second chance was worth it. ,11,,,2018-05-05 16:11:08.275163+02
C07,1647258.txt,Market Skeptic Republicans,5,I approve of him. Defend the country at all costs.,12,,YES,2018-05-05 16:12:25.000413+02
C07,1649239.txt,Market Skeptic Republicans,5,Agency rivalries are responsible for the attacks on 9/11. Appointing one to rein in the rivalries of the different agencies should be an office that is permanent in the government institution.,13,,YES,2018-05-05 16:21:25.388664+02
C07,1650886.txt,Market Skeptic Republicans,2,"I had not thought of it that way, but it makes sense. To start national savings however, one needs to be closer to being out of debt.",14,,,2018-05-05 16:24:40.023894+02
C07,1651054.txt,Market Skeptic Republicans,5,"Abhorrent practice? Not nearly as abhorrent as watching thousands of innocents die. I believe we need to protect our own, no matter the costs.",15,,YES,2018-05-05 16:31:06.87773+02
C07,1651055.txt,Market Skeptic Republicans,5,TWB needs to have someone with an open mind and perhaps even personal experience in these issues. Agree wholeheartedly with the author on this.,16,,YES,2018-05-05 16:32:59.231497+02
C07,1652153.txt,Market Skeptic Republicans,3,"Information I am already privy too, but it is true.",17,,,2018-05-05 16:35:27.701306+02
C07,1652422.txt,Market Skeptic Republicans,5,"The weak dollar ploy was a failure. A lot needs to be done for the economy, but perhaps at this point it is too late.",18,,YES,2018-05-05 16:39:55.39261+02
C07,1653050.txt,Market Skeptic Republicans,5,Absentee voting should never have been allowed. Time to make the legislature act like a legislature.,19,,YES,2018-05-05 16:43:24.492492+02
C07,1654089.txt,Market Skeptic Republicans,5,I will continue my stance that this is necessary to protect the American people.,20,,YES,2018-05-05 16:47:56.476789+02
L07,1670339.txt,Disaffected Democrats,3,"I think that in some ways it is important for the US to take an interest in foreign affairs but often time the US creates issues or does things particularly for their own personal advancement, as an entity rather than for the people. ",33,,,2018-05-05 16:48:42.573845+02
L07,1671831.txt,Disaffected Democrats,4,"Large corporations are only looking out for their best interest, not the employees. It is another case where the gov needs to stop working for and paying corporations and start worrying about the employees, not the owners. ",34,,,2018-05-05 16:50:29.35637+02
C07,1654869.txt,Market Skeptic Republicans,5,"Close the loophole, but do not pursue cases against former employees. Once time has passed, they have the right not to be drug back into a case. That is everyone's right.",21,,YES,2018-05-05 16:51:37.795157+02
C07,1655378.txt,Market Skeptic Republicans,3,"Nothing new to me in this particular article. Most checkpoints are well marked, and it is common knowledge among the people at the time to stop for all checkpoints.",22,,,2018-05-05 16:53:47.897678+02
C11,1638699.txt,Country First Conservatives,3,I found the editorial difficult to read.  It makes assumptions rather points and I was irritated by the writer's style and ridiculous similes.,0,,,2018-05-05 16:54:23.936636+02
C07,1656310.txt,Market Skeptic Republicans,5,"I agree it is biased towards large corporations. But it is a fine line here, hurt these corporations and you hurt the economy.",23,,YES,2018-05-05 16:55:24.093442+02
C07,1656568.txt,Market Skeptic Republicans,5,"The mismanagement of school funds was a disaster, and should not be repeated again. Safeguarding the funds allotted to education is something that should be actively pursued.",24,,YES,2018-05-05 16:57:30.312549+02
C07,1657664.txt,Market Skeptic Republicans,3,"Anthrax takes time to ID, so that may be a major flaw to this editorial. ",25,,,2018-05-06 01:37:15.278126+02
C03,1649531.txt,Country First Conservatives,4,The system needs work at every level.,13,,,2018-05-06 06:47:40.94558+02
L07,1673625.txt,Disaffected Democrats,4,Large companies are not going to do things that cost them money when there are cheaper ways to go about what they are doing. They don't care about employees or the environment and are fine with the destruction on the earth because they have the money to su (...),35,,,2018-05-05 16:57:31.82556+02
L07,1674947.txt,Disaffected Democrats,2,"Protection is important. Having the ability to use satellites in war time would be a good idea, but working to prevent the war all together would be better in my opinion. ",36,,,2018-05-05 17:01:32.320574+02
L07,1676633.txt,Disaffected Democrats,5,"The idea that salaries are taxed higher than stocks is noteworthy. Most lower to middle class people don't have the funds, ability, or knowledge to invest anything in the stock market. When your living pay check to pay check investing isn't what your worri (...)",37,,YES,2018-05-05 17:04:33.355135+02
L11,1640273.txt,Opportunity Democrats,5,"It showed the importance of protecting investors from the pitfalls of corporate largesse, especially when it comes to retirees.",0,,YES,2018-05-05 17:09:43.249612+02
L11,1640526.txt,Opportunity Democrats,3,"It demonstrated the importance of efficient public sector emergency services, which I agree with, but it also demonstrated how large government systems can be rife with inefficiencies.",1,,,2018-05-05 17:12:36.290552+02
L11,1640574.txt,Opportunity Democrats,2,"While I understand the need for prisoner privacy and am sensitive to public safety concerns, a revenue-generating program with large public appeal might be worth the potential problems.",2,,,2018-05-05 17:15:47.043304+02
L11,1642337.txt,Opportunity Democrats,5,"As the article states, partisanship is a seemingly intractable issue in American politics. That both a Republican and Democrat recognized the importance of clean air and proposed a bipartisan solution shows that the increased cooperation between the partie (...)",3,,YES,2018-05-05 17:21:27.487522+02
L11,1643462.txt,Opportunity Democrats,4,"This article argues against wasteful military spending, which is a position I share. However, the larger issue with the Iraq War is that it was based on willful lies.",4,,,2018-05-05 17:23:26.034936+02
L11,1645960.txt,Opportunity Democrats,4,"While I do not know if increased sentencing for drug offenders is the solution, I do know that the drug trade may be the single biggest obstacle confronting the improvement of low-income communities. This article takes as a matter of course that the New Yo (...)",5,,,2018-05-05 17:27:27.544427+02
L11,1646839.txt,Opportunity Democrats,5,"I was against so-called tort ""reform"" in principle. That a compromise was proposed and subsequently rejected would be useful in arguing about the wrongheadedness of the legislation, and indeed, its extremity.",6,,YES,2018-05-05 17:32:34.892902+02
L11,1647477.txt,Opportunity Democrats,5,"While history often judges the US as the main culprit behind the Iraq War debacle (and rightly so), the role that the United Nations may have played in aiding the destruction and war profiteering is less-known. This editorial encourages me to investigate t (...)",7,,YES,2018-05-05 17:38:01.129679+02
L11,1648561.txt,Opportunity Democrats,4,"The editorial deals with the large players in this story--Cablevision and the New York Jets. However, the money that would go toward the MTA is a public policy issue. The reason I did not say it strongly reinforced my stance is because public spending bein (...)",8,,,2018-05-05 17:42:27.284215+02
L11,1649490.txt,Opportunity Democrats,2,"While I support affordable housing, especially in expensive metro areas like New York, it is unfortunate that the shape such initiatives can take have the potential to mirror prejudices which exist in certain communities.",9,,,2018-05-05 18:38:59.257181+02
L11,1649695.txt,Opportunity Democrats,4,"The editorial demonstrates the need for improved vote-counting at every level of government, although it did not provide fodder for increased strength of this argument--it showed what is already widely-known.",10,,,2018-05-05 18:41:23.30369+02
L11,1650368.txt,Opportunity Democrats,3,The question this editorial raises is what level of cronyism is acceptable. It's almost a given that friends and associates of a person in a high position are going to benefit. The question truly is how much of this behavior is acceptable. ,11,,,2018-05-05 18:43:37.828122+02
L11,1650400.txt,Opportunity Democrats,4,"On the issue of  the Israel/Palestine conflict, there is a lot of gray area. None of the parties involved can claim complete moral nor policy superiority.",12,,,2018-05-05 18:46:21.400152+02
L11,1650603.txt,Opportunity Democrats,5,"I am an advocate for more transparency in the FDA and for food and drug safety generally. That said, this editorial addresses how difficult this is to execute in practice, given the economic prerogatives of involved companies. The drug safety advisory boar (...)",13,,YES,2018-05-05 18:51:53.29852+02
L11,1652155.txt,Opportunity Democrats,5,"While I oppose Social Security privatization on principle, this editorial's mentioning that the legal limbo a death before retirement would place one's savings in is a facet of the issue that isn't addressed often enough.",14,,YES,2018-05-05 18:54:03.846903+02
L11,1653171.txt,Opportunity Democrats,4,"Cronyism is rampant throughout all sectors, public and private. The judiciary is one area where we don't often think of it. Using the example of Judge Garson, who I had not heard of prior to this editorial, as an example illustrates that judicial cronyism  (...)",15,,,2018-05-05 18:57:12.128221+02
L11,1653437.txt,Opportunity Democrats,5,The situation with Kansas AG Kline really hits the intersection of pro-choice and privacy advocacy. We are so used to privacy intrusions now that they ring fewer public alarm bells than ever before. Showing in what specifically harmful ways privacy intrusi (...),16,,YES,2018-05-05 19:01:47.329638+02
L11,1653883.txt,Opportunity Democrats,3,Separation of church and state is one of America's core governmental tenets. That 21st-century Kentucky and Texas choose to put those tenets in jeopardy is not surprising.,17,,,2018-05-05 19:04:04.633416+02
L11,1655849.txt,Opportunity Democrats,4,"This editorial, by chastising both private and public prisons, represents a fair-handed assessment of the national prisoner health situation. Additionally, by mentioning that diseases in prison can spread to the outside, the editorial reduces any punitive- (...)",18,,,2018-05-05 19:06:44.98751+02
L11,1656067.txt,Opportunity Democrats,5,The Bush administration was rife with scandal. The Church report is one aspect of the prisoner abuse record of the Pentagon which illustrates how unseemly its record was.,19,,YES,2018-05-05 19:10:23.810567+02
L01,1673625.txt,Disaffected Democrats,3,I agree but found nothing new here.,35,,,2018-05-06 03:33:53.878183+02
L07,1678664.txt,Disaffected Democrats,2,"I feel that most monies should go to fixing and helping those in America as we are currently not to so great, but after reading we only offer such as small amount to help, when so much is going to other unnecessary things I am reconsidering.",38,,,2018-05-05 19:24:38.362475+02
L01,1638699.txt,Disaffected Democrats,5,"This editorial makes some nice points about the value of being engaged in your life and trying to make improvements. I don't know if it helps me argue better, exactly, but it does strongly reinforce what I already believe.",0,,YES,2018-05-05 19:27:36.49098+02
L01,1640113.txt,Disaffected Democrats,4,I already had this view. But the article had a few details (how long it took Gonzalez to denounce torture) which I had forgotten. ,1,,,2018-05-05 19:51:21.513539+02
L01,1640630.txt,Disaffected Democrats,3,I basically agree with this but didnt find anything really new in it.,2,,,2018-05-05 19:58:15.529116+02
C11,1640113.txt,Country First Conservatives,5,I was already aware of the illegal torture of suspects and strongly opposed it.,1,,NO,2018-05-05 19:58:21.082704+02
L01,1640915.txt,Disaffected Democrats,4,I agree that the UN needs a major overhaul. This is a subject you don't see much about and so it's nice to read this.,3,,,2018-05-05 20:33:55.801069+02
L01,1641561.txt,Disaffected Democrats,3,"I agree with the point, but there was nothing new here to reinforce my point of view. ",4,,,2018-05-05 21:03:39.304358+02
C12,1649239.txt,Country First Conservatives,1,"While it is known that there were people who ignored the warnings, I didn't realize that it was all the intelligence agencies.",13,NO,,2018-05-06 05:29:30.300968+02
L11,1656069.txt,Opportunity Democrats,3,"While I agree with the writer's position on these particular nominees, filibustering seems to be a vicious cycle. Both parties use it to delay legitimate appointment processes.",20,,,2018-05-05 21:16:45.653252+02
L11,1657030.txt,Opportunity Democrats,2,"While I support a global view of justice in the international arena, in cases of murder, there is much gray area. One interesting aspect of the case that the writer brought up is that of reciprocity: Americans abroad would be less safe, as well. On the oth (...)",21,,,2018-05-05 21:19:52.897716+02
L11,1658390.txt,Opportunity Democrats,2,"While I support stem cell research, there is a reasonable opposition to it. Navigating the issue of using public money to fund it is difficult and does not lend itself well to hyper-partisan interpretations of ethical responsibility.",22,,,2018-05-05 21:22:37.141488+02
L11,1658445.txt,Opportunity Democrats,2,"While I support stem cell research, there is reasonable opposition to it, as well. Navigating the use of public funds does not lend itself well to hyper-partisan ethical arguments. Sheldon Silver's approach seems to strike a useful balance between public a (...)",23,,,2018-05-05 21:25:06.948533+02
L11,1659703.txt,Opportunity Democrats,3,"The issue of supporting governments with less-than-stellar records of democratic governance is thorny. In the case of Kyrgyzstan, military utility took a back seat to ideology. This is the unfortunate but sometimes necessary compromise that often needs to  (...)",24,,,2018-05-05 21:27:49.50459+02
L11,1660143.txt,Opportunity Democrats,5,Gerrymandering is one of the most noxious manifestations of democratic subversion America faces. I was unaware of how endemic the problem was in New York state.,25,,YES,2018-05-05 21:30:42.176081+02
L11,1661595.txt,Opportunity Democrats,4,"I value and appreciate the American national parks system. I was unaware that their preservation was a bipartisan issue, as, for modern Republicans, privatization is the primary aim of most legislation concerning public goods. This editorial can lead to a  (...)",26,,,2018-05-05 21:33:50.594651+02
L11,1661997.txt,Opportunity Democrats,5,"The issue of waste disposal should not be politicized, although perhaps I naively thought it mostly wasn't. That Bloomberg wanted to add a site in a political opponent's district is petty and speaks to the nature of Mayor Bloomberg as a leader who cannot b (...)",27,,YES,2018-05-05 21:37:22.550407+02
L11,1662738.txt,Opportunity Democrats,5,"While I am aware of the antipathy toward the judiciary expressed by many Republicans, I was unaware the depths to which John Cornyn sank during the time of these shootings. Those are impossible statements to walk back, as they offer justifications for murd (...)",28,,YES,2018-05-05 21:40:57.394681+02
L11,1663665.txt,Opportunity Democrats,4,"Energy conservation is a core global concern. This editorial, while bringing the issue close to home for residents of Long Island, demonstrates the local nature of the global problem. While it does seem to openly advocate for LIPA's Green Choice program, I (...)",29,,,2018-05-05 21:48:29.885259+02
C11,1640630.txt,Country First Conservatives,3,"I was not previously aware of the project, so did not have a stance before reading.",2,,,2018-05-05 21:52:46.611706+02
L11,1665033.txt,Opportunity Democrats,5,"The reasons the editorial gives for opposing the estate tax repeal are both sound economically and reveal the ideological biases that animated that discussion. Especially given the budget deficit, there is no broader economic argument to be made for an est (...)",30,,YES,2018-05-05 21:55:28.915247+02
C11,1640915.txt,Country First Conservatives,4,"Although now history, the Bush administration's relationship with the UN did not further America's image globally. ",3,,,2018-05-05 21:56:21.464792+02
C11,1641561.txt,Country First Conservatives,5,The WMD reason to go to war with Iraq has caused uncountable amounts of damage to US relations withe Middle East and cause un-reparable damage to the entire region.,4,,YES,2018-05-05 22:16:41.674809+02
L01,1642371.txt,Disaffected Democrats,4,This editorial reinforced my basic feeling that too much bureaucracy is a real problem. The example of the library was sad and also convincing.,5,,,2018-05-05 22:19:41.90546+02
L01,1642463.txt,Disaffected Democrats,2,I remember hating the idea of the West side development. -- and I hate the way it looks now. This makes me think that the plan wasn't all bad. ,6,,,2018-05-05 22:30:45.860498+02
L01,1643180.txt,Disaffected Democrats,4,I agree with the point that Rice was a problematic appointment and that Congress should have done more to oppose her. It's useful to be reminded of the specifics here.,7,,,2018-05-05 22:45:41.395003+02
L01,1644750.txt,Disaffected Democrats,3,I don't disagree that firefighters are heroic and need support but I didn't find anything new in this.,8,,,2018-05-05 22:50:04.059415+02
L01,1645252.txt,Disaffected Democrats,3,I have mixed feelings about the NYT. This tried to showcase their good side but it didn't especially convince me. Why is this better than another charity?,9,,,2018-05-05 22:54:18.461976+02
L11,1665894.txt,Opportunity Democrats,3,"The space program represents a very small percentage of the national budget. It rarely makes news without significant discoveries or disasters. I'm relatively indifferent to the space program, honestly.",31,,,2018-05-05 22:55:30.383255+02
L11,1666079.txt,Opportunity Democrats,5,The Khodorkovsky case represents an illustrative example of the problem of the post-Soviet states. They devolved into kleptocracy very quickly. There are very few characters in business or politics in that part of the world who can be considered virtuous b (...),32,,YES,2018-05-05 23:00:35.046488+02
L11,1666761.txt,Opportunity Democrats,4,I disagree with the premise of this editorial. It seems that there is a whole cottage industry suggesting unhealthy habits may actually have health benefits. ,33,,,2018-05-05 23:03:48.231854+02
L01,1647884.txt,Disaffected Democrats,2,This is new to me and interesting. I thought I knew about the problems in slaughterhouses but hadn't thought about the worker's treatment. ,11,,,2018-05-05 23:04:13.49242+02
